measured mz, measured rt, matched mz, matched rt
258.110199, 12.156430, 258.110100, 12.145510
258.110962, 12.156430, 258.110100, 12.145510
214.091614, 12.180253, 214.092128, 12.213298
214.091614, 12.227920, 214.092128, 12.213298
214.092209, 12.227920, 214.092128, 12.213298
217.128754, 12.251587, 217.129517, 12.264554
217.129349, 12.251587, 217.129517, 12.264554
217.129959, 12.251587, 217.129517, 12.264554
217.130569, 12.251587, 217.129517, 12.264554
217.128754, 12.275417, 217.129517, 12.264554
217.129349, 12.275417, 217.129517, 12.264554
217.129959, 12.275417, 217.129517, 12.264554
217.130569, 12.275417, 217.129517, 12.264554
249.107742, 12.323578, 249.108113, 12.339098
249.108490, 12.323578, 249.108113, 12.339098
249.109238, 12.323578, 249.108113, 12.339098
249.107742, 12.347087, 249.108113, 12.339098
249.108490, 12.347087, 249.108113, 12.339098
249.109238, 12.347087, 249.108113, 12.339098
425.045227, 12.347087, 425.044420, 12.362625
425.043549, 12.370755, 425.044420, 12.362625
425.045227, 12.370755, 425.044420, 12.362625
134.044739, 12.419245, 134.044784, 12.431564
134.045029, 12.419245, 134.044784, 12.431564
134.045319, 12.419245, 134.044784, 12.431564
134.045624, 12.419245, 134.044784, 12.431564
428.035858, 12.419245, 428.036691, 12.444459
428.037537, 12.419245, 428.036691, 12.444459
134.044449, 12.442913, 134.044784, 12.431564
134.044739, 12.442913, 134.044784, 12.431564
134.045029, 12.442913, 134.044784, 12.431564
134.045319, 12.442913, 134.044784, 12.431564
134.045624, 12.442913, 134.044784, 12.431564
428.035858, 12.442913, 428.036691, 12.444459
428.037537, 12.442913, 428.036691, 12.444459
428.035858, 12.467580, 428.036691, 12.444459
428.037537, 12.467580, 428.036691, 12.444459
189.123215, 12.662750, 189.123369, 12.665462
189.123718, 12.662750, 189.123369, 12.665462
189.124207, 12.662750, 189.123369, 12.665462
104.070786, 12.950087, 104.070605, 12.969414
104.070992, 12.950087, 104.070605, 12.969414
242.043304, 12.950087, 242.042415, 12.982417
176.102219, 12.999080, 176.102968, 13.030234
176.102646, 12.999080, 176.102968, 13.030234
176.103088, 12.999080, 176.102968, 13.030234
176.103531, 12.999080, 176.102968, 13.030234
231.025436, 12.999080, 231.026430, 13.027718
231.026108, 12.999080, 231.026430, 13.027718
231.026764, 12.999080, 231.026430, 13.027718
231.027435, 12.999080, 231.026430, 13.027718
342.139587, 12.999080, 342.140810, 13.024070
