96.96962, [M-H]-,[M-H]-,H3PO4,,"Phosphoric acid (phosphate, anion) also from oligonucleotides or phosphopeptides",,,F
112.98559, [M-H]-,[M-H]-,CF3COOH,,"Trifluoroacetic acid, TFA (anion)",,,F
112.98563, [M2+Na-2H]-,[M2+Na-2H]-,HCOOH,,"Formic acid, dimer, FA (anion)",,,F
126.90502, A-,A-,I,,Iodine anion (Iodide),,,V
162.9824, [M-H]-,[M-H]-,CF3CF2COOH,,"Pentafluoropropionic acid, Perfluoropropionic acid",,,E
212.07507, [M-H]-,[M-H]-,C10H15NO2S,,n-butyl benzenesulfonamide,,,"A, K"
226.97845, [M2-H]-,[M2-H]-,CF3COOH,,"Trifluoroacetic acid, TFA (anion)",,,A
248.9604, [M2+Na-2H]-,[M2+Na-2H]-,CF3COOH,,"Trifluoroacetic acid, TFA, sodiated (anion)",,,A
255.23295, [M-H]-,[M-H]-,C16H32O2,,Palmitic acid (carboxylate anion) C16:0,,,K
281.2486, [M-H]-,[M-H]-,C18H34O2,,Oleic acid (carboxylate anion) C18:1,,,K
283.26425, [M-H]-,[M-H]-,C18H36O2,,Stearic acid (carboxylate anion) 18:0,,,K
316.7391, [63CuI+I]-,[63CuI+I]-,CuI,,Copper catalyst iodide adduct,,,K
318.73729, [65CuI+I]-,[65CuI+I]-,CuI,,Copper catalyst iodide adduct,,,K
,,,,,,,,
897.318651,C45H53O19-,,,,,,,
897.355036,C46H57O18-,,,,,,,
897.391422,C47H61O17-,,,,,,,
898.934062,C34H11O30-,,,,,,,
898.970447,C35H15O29-,,,,,,,
899.006832,C36H19O28-,,,,,,,
899.043218,C37H23O27-,,,,,,,
899.079603,C38H27O26-,,,,,,,
899.115988,C39H31O25-,,,,,,,
899.152374,C40H35O24-,,,,,,,
899.188759,C41H39O23-,,,,,,,
899.225145,C42H43O22-,,,,,,,
899.26153,C43H47O21-,,,,,,,
899.297915,C44H51O20-,,,,,,,
899.334301,C45H55O19-,,,,,,,
899.370686,C46H59O18-,,,,,,,
908.954797,C36H13O29-,,,,,,,
908.991182,C37H17O28-,,,,,,,
909.027568,C38H21O27-,,,,,,,
909.063953,C39H25O26-,,,,,,,
909.100339,C40H29O25-,,,,,,,
909.136724,C41H33O24-,,,,,,,
909.173109,C42H37O23-,,,,,,,
909.209495,C43H41O22-,,,,,,,
909.24588,C44H45O21-,,,,,,,
909.282265,C45H49O20-,,,,,,,
909.318651,C46H53O19-,,,,,,,
909.355036,C47H57O18-,,,,,,,
909.391422,C48H61O17-,,,,,,,
911.043218,C38H23O27-,,,,,,,
911.079603,C39H27O26-,,,,,,,
911.115988,C40H31O25-,,,,,,,
911.152374,C41H35O24-,,,,,,,
911.188759,C42H39O23-,,,,,,,
911.225145,C43H43O22-,,,,,,,
911.26153,C44H47O21-,,,,,,,
911.297915,C45H51O20-,,,,,,,
911.334301,C46H55O19-,,,,,,,
911.370686,C47H59O18-,,,,,,,
912.949712,C35H13O30-,,,,,,,
912.986097,C36H17O29-,,,,,,,
913.022482,C37H21O28-,,,,,,,
913.058868,C38H25O27-,,,,,,,
913.095253,C39H29O26-,,,,,,,
913.131639,C40H33O25-,,,,,,,
913.168024,C41H37O24-,,,,,,,
913.204409,C42H41O23-,,,,,,,
913.240795,C43H45O22-,,,,,,,
913.27718,C44H49O21-,,,,,,,
913.313565,C45H53O20-,,,,,,,
913.349951,C46H57O19-,,,,,,,
913.386336,C47H61O18-,,,,,,,
922.934062,C36H11O30-,,,,,,,
922.970447,C37H15O29-,,,,,,,
923.006832,C38H19O28-,,,,,,,
923.043218,C39H23O27-,,,,,,,
923.079603,C40H27O26-,,,,,,,
923.115988,C41H31O25-,,,,,,,
923.152374,C42H35O24-,,,,,,,
923.188759,C43H39O23-,,,,,,,
923.225145,C44H43O22-,,,,,,,
923.26153,C45H47O21-,,,,,,,
923.297915,C46H51O20-,,,,,,,
923.334301,C47H55O19-,,,,,,,
923.370686,C48H59O18-,,,,,,,
925.058868,C39H25O27-,,,,,,,
925.095253,C40H29O26-,,,,,,,
925.131639,C41H33O25-,,,,,,,
925.168024,C42H37O24-,,,,,,,
925.204409,C43H41O23-,,,,,,,
925.240795,C44H45O22-,,,,,,,
925.27718,C45H49O21-,,,,,,,
925.313565,C46H53O20-,,,,,,,
925.349951,C47H57O19-,,,,,,,
925.386336,C48H61O18-,,,,,,,
926.928976,C35H11O31-,,,,,,,
926.965361,C36H15O30-,,,,,,,
927.001747,C37H19O29-,,,,,,,
927.038132,C38H23O28-,,,,,,,
927.074518,C39H27O27-,,,,,,,
927.110903,C40H31O26-,,,,,,,
927.147289,C41H35O25-,,,,,,,
927.183674,C42H39O24-,,,,,,,
927.220059,C43H43O23-,,,,,,,
927.256445,C44H47O22-,,,,,,,
927.29283,C45H51O21-,,,,,,,
927.329216,C46H55O20-,,,,,,,
927.365601,C47H59O19-,,,,,,,
936.949712,C37H13O30-,,,,,,,
936.986097,C38H17O29-,,,,,,,
937.022482,C39H21O28-,,,,,,,
937.058868,C40H25O27-,,,,,,,
937.095253,C41H29O26-,,,,,,,
937.131639,C42H33O25-,,,,,,,
937.168024,C43H37O24-,,,,,,,
937.204409,C44H41O23-,,,,,,,
937.240795,C45H45O22-,,,,,,,
937.27718,C46H49O21-,,,,,,,
937.313565,C47H53O20-,,,,,,,
937.349951,C48H57O19-,,,,,,,
937.386336,C49H61O18-,,,,,,,
939.074518,C40H27O27-,,,,,,,
939.110903,C41H31O26-,,,,,,,
939.147289,C42H35O25-,,,,,,,
939.183674,C43H39O24-,,,,,,,
939.220059,C44H43O23-,,,,,,,
939.256445,C45H47O22-,,,,,,,
939.29283,C46H51O21-,,,,,,,
939.329216,C47H55O20-,,,,,,,
939.365601,C48H59O19-,,,,,,,
940.944626,C36H13O31-,,,,,,,
940.981012,C37H17O30-,,,,,,,
941.017397,C38H21O29-,,,,,,,
941.053782,C39H25O28-,,,,,,,
941.090168,C40H29O27-,,,,,,,
941.126553,C41H33O26-,,,,,,,
941.162939,C42H37O25-,,,,,,,
941.199324,C43H41O24-,,,,,,,
941.235709,C44H45O23-,,,,,,,
941.272095,C45H49O22-,,,,,,,
941.30848,C46H53O21-,,,,,,,
941.344865,C47H57O20-,,,,,,,
941.381251,C48H61O19-,,,,,,,
950.928976,C37H11O31-,,,,,,,
950.965361,C38H15O30-,,,,,,,
951.001747,C39H19O29-,,,,,,,
951.038132,C40H23O28-,,,,,,,
951.074518,C41H27O27-,,,,,,,
951.110903,C42H31O26-,,,,,,,
951.147289,C43H35O25-,,,,,,,
951.183674,C44H39O24-,,,,,,,
951.220059,C45H43O23-,,,,,,,
951.256445,C46H47O22-,,,,,,,
951.29283,C47H51O21-,,,,,,,
951.329216,C48H55O20-,,,,,,,
951.365601,C49H59O19-,,,,,,,
953.090168,C41H29O27-,,,,,,,
953.126553,C42H33O26-,,,,,,,
953.162939,C43H37O25-,,,,,,,
953.199324,C44H41O24-,,,,,,,
953.235709,C45H45O23-,,,,,,,
953.272095,C46H49O22-,,,,,,,
953.30848,C47H53O21-,,,,,,,
953.344865,C48H57O20-,,,,,,,
953.381251,C49H61O19-,,,,,,,
954.923891,C36H11O32-,,,,,,,
954.960276,C37H15O31-,,,,,,,
954.996662,C38H19O30-,,,,,,,
955.033047,C39H23O29-,,,,,,,
955.069432,C40H27O28-,,,,,,,
955.105818,C41H31O27-,,,,,,,
955.142203,C42H35O26-,,,,,,,
955.178588,C43H39O25-,,,,,,,
955.214974,C44H43O24-,,,,,,,
955.251359,C45H47O23-,,,,,,,
955.287745,C46H51O22-,,,,,,,
955.32413,C47H55O21-,,,,,,,
955.360516,C48H59O20-,,,,,,,
955.396901,C49H63O19-,,,,,,,
964.944626,C38H13O31-,,,,,,,
964.981012,C39H17O30-,,,,,,,
965.017397,C40H21O29-,,,,,,,
965.053782,C41H25O28-,,,,,,,
965.090168,C42H29O27-,,,,,,,
965.126553,C43H33O26-,,,,,,,
965.162939,C44H37O25-,,,,,,,
965.199324,C45H41O24-,,,,,,,
965.235709,C46H45O23-,,,,,,,
965.272095,C47H49O22-,,,,,,,
965.30848,C48H53O21-,,,,,,,
965.344865,C49H57O20-,,,,,,,
965.381251,C50H61O19-,,,,,,,
967.105818,C42H31O27-,,,,,,,
967.142203,C43H35O26-,,,,,,,
967.178588,C44H39O25-,,,,,,,
967.214974,C45H43O24-,,,,,,,
967.251359,C46H47O23-,,,,,,,
967.287745,C47H51O22-,,,,,,,
967.32413,C48H55O21-,,,,,,,
967.360516,C49H59O20-,,,,,,,
967.396901,C50H63O19-,,,,,,,
968.939541,C37H13O32-,,,,,,,
968.975926,C38H17O31-,,,,,,,
969.012312,C39H21O30-,,,,,,,
969.048697,C40H25O29-,,,,,,,
969.085082,C41H29O28-,,,,,,,
969.121468,C42H33O27-,,,,,,,
969.157853,C43H37O26-,,,,,,,
969.194238,C44H41O25-,,,,,,,
969.230624,C45H45O24-,,,,,,,
969.267009,C46H49O23-,,,,,,,
969.303395,C47H53O22-,,,,,,,
969.33978,C48H57O21-,,,,,,,
969.376165,C49H61O20-,,,,,,,
978.923891,C38H11O32-,,,,,,,
978.960276,C39H15O31-,,,,,,,
978.996662,C40H19O30-,,,,,,,
979.033047,C41H23O29-,,,,,,,
979.069432,C42H27O28-,,,,,,,
979.105818,C43H31O27-,,,,,,,
979.142203,C44H35O26-,,,,,,,
979.178588,C45H39O25-,,,,,,,
979.214974,C46H43O24-,,,,,,,
979.251359,C47H47O23-,,,,,,,
979.287745,C48H51O22-,,,,,,,
979.32413,C49H55O21-,,,,,,,
979.360516,C50H59O20-,,,,,,,
981.121468,C43H33O27-,,,,,,,
981.157853,C44H37O26-,,,,,,,
981.194238,C45H41O25-,,,,,,,
981.230624,C46H45O24-,,,,,,,
981.267009,C47H49O23-,,,,,,,
981.303395,C48H53O22-,,,,,,,
981.33978,C49H57O21-,,,,,,,
981.376165,C50H61O20-,,,,,,,
982.918805,C37H11O33-,,,,,,,
982.955191,C38H15O32-,,,,,,,
982.991576,C39H19O31-,,,,,,,
983.027961,C40H23O30-,,,,,,,
983.064347,C41H27O29-,,,,,,,
983.100732,C42H31O28-,,,,,,,
983.137118,C43H35O27-,,,,,,,
983.173503,C44H39O26-,,,,,,,
983.209889,C45H43O25-,,,,,,,
983.246274,C46H47O24-,,,,,,,
983.282659,C47H51O23-,,,,,,,
983.319045,C48H55O22-,,,,,,,
983.35543,C49H59O21-,,,,,,,
983.391816,C50H63O20-,,,,,,,
992.939541,C39H13O32-,,,,,,,
992.975926,C40H17O31-,,,,,,,
993.012312,C41H21O30-,,,,,,,
993.048697,C42H25O29-,,,,,,,
993.085082,C43H29O28-,,,,,,,
993.121468,C44H33O27-,,,,,,,
993.157853,C45H37O26-,,,,,,,
993.194238,C46H41O25-,,,,,,,
993.230624,C47H45O24-,,,,,,,
993.267009,C48H49O23-,,,,,,,
993.303395,C49H53O22-,,,,,,,
993.33978,C50H57O21-,,,,,,,
995.137118,C44H35O27-,,,,,,,
995.173503,C45H39O26-,,,,,,,
995.209889,C46H43O25-,,,,,,,
995.246274,C47H47O24-,,,,,,,
995.282659,C48H51O23-,,,,,,,
995.319045,C49H55O22-,,,,,,,
995.35543,C50H59O21-,,,,,,,
996.934455,C38H13O33-,,,,,,,
996.970841,C39H17O32-,,,,,,,
997.007226,C40H21O31-,,,,,,,
997.043611,C41H25O30-,,,,,,,
997.079997,C42H29O29-,,,,,,,
997.116382,C43H33O28-,,,,,,,
997.152768,C44H37O27-,,,,,,,
997.189153,C45H41O26-,,,,,,,
997.225539,C46H45O25-,,,,,,,
997.261924,C47H49O24-,,,,,,,
997.298309,C48H53O23-,,,,,,,
997.334695,C49H57O22-,,,,,,,
997.37108,C50H61O21-,,,,,,,
